name,role,layer,src_type,n_elem,n_measured,sampled,rms_w,absmax_rel_mse,absmax_rms_err,absmax_max_abs_err,absmax_cos,absmax_sqnr_db
blk.17.ffn_up.weight,ffn_up,17,Q4_0,115605504,8000000,True,0.01680003249466256,0.15240424080223458,0.006533920496773751,0.04327479004859924,0.9290885798781289,8.170029481448127
blk.18.attn_k.weight,attn_k,18,Q4_0,22020096,8000000,True,0.01706690810489741,0.15535146597605975,0.006724305398684281,0.0682544931769371,0.9279857836305662,8.086846441643374
blk.18.attn_output.weight,attn_o,18,Q4_0,44040192,8000000,True,0.015935402905946798,0.15106190046183057,0.006179027359222136,0.05598363280296326,0.9297731103271186,8.208450558834278
blk.18.attn_q.weight,attn_q,18,Q4_0,44040192,8000000,True,0.01679570159308517,0.153025480392296,0.006464934570404841,0.0730610117316246,0.9288946684660767,8.152362484476555
blk.18.attn_v.weight,attn_v,18,Q4_0,22020096,8000000,True,0.017956031615232657,0.15175607397285001,0.007091998259476949,0.10754221677780151,0.9299448168488076,8.188539174513803
blk.18.ffn_down.weight,ffn_down,18,Q4_0,115605504,8000000,True,0.0125789642574704,0.15373890725560085,0.004940530452587027,0.04825666919350624,0.9286118506870762,8.13216210131258
blk.18.ffn_gate.weight,ffn_gate,18,Q4_0,115605504,8000000,True,0.01765537541610213,0.1513860167257312,0.0068745877083161815,0.04993513599038124,0.9294212540481742,8.199142380414624
blk.18.ffn_up.weight,ffn_up,18,Q4_0,115605504,8000000,True,0.01758397539543343,0.15144709203441659,0.0068474305990491235,0.034619830548763275,0.9294591260705384,8.197390612253553
blk.19.attn_k.weight,attn_k,19,Q4_0,22020096,8000000,True,0.01585942199091643,0.15557598282798565,0.006319655774747428,0.06632586941123009,0.9279959760831715,8.080574467444393
blk.19.attn_output.weight,attn_o,19,Q4_0,44040192,8000000,True,0.013798387819435447,0.14870363969720213,0.005325526498249347,0.05699673295021057,0.9306930907423742,8.276784014776036
blk.19.attn_q.weight,attn_q,19,Q4_0,44040192,8000000,True,0.01545129742019693,0.1543237555964826,0.006282664646213079,0.0562572255730629,0.928473654861108,8.115672163194454
